item_title,image_url,link
Ake Site,"The Ake Site is a name for a prehistoric archaeological location near the town of Datil in the San Augustine Basin of Catron County, New Mexico, United States. It was listed on the New Mexico Register of Cultural Properties in 1975, and listed on the National Register of Historic Places in 1976. The Ake Site is particularly important for the age and length of its use by prehistoric peoples.",http://en.wikipedia.org/wiki/Ake_Site
American River,"The American River (Río de los Americanos during the Mexican-ruled period before 1846) is a California watercourse river system which runs from the crest of the Sierra Nevada mountain range to its confluence with the Sacramento River in Sacramento, California. The Sacramento River continues to eventually empty into the San Francisco Bay and the Pacific Ocean at San Francisco, California. The American River flows entirely within California.",http://en.wikipedia.org/wiki/American_River
"American River, South Australia","American River is a town situated on the western shore of Eastern Cove, on Australia's third largest island, Kangaroo Island.","http://en.wikipedia.org/wiki/American_River,_South_Australia"
American River (Washington),"The American River is a tributary of the Naches River, in Washington in the United States. It flows down the east side of the Cascade Range, through Wenatchee National Forest and the William O. Douglas Wilderness.From its source at American Lake, it flows north for several miles, picking up its tributary the Rainier Fork American River, which flows east down from the vicinity of Chinook Pass.",http://en.wikipedia.org/wiki/American_River_(Washington)
Ampelakia,"Ampelakia (Greek: Αμπελάκια, meaning vineyards) is a town and a former municipality of Salamis Island, Greece. Since the 2011 local government reform it is part of the municipality Salamis, of which it is a municipal unit.It lies on the central east coast of the island and has a land area of 15.169 km², comprising about one-sixth of the island's area (with the balance belonging to the Salamina (city)). It has a population of 7,060 inhabitants (2001 census).",http://en.wikipedia.org/wiki/Ampelakia
"Ampelakia, Larissa","Ampelakia (Greek: Αμπελάκια) is a former community in the Larissa regional unit, Thessaly, Greece. Since the 2011 local government reform it is part of the municipality Tempi, of which it is a municipal unit and a municipal community. Ampelakia is also regarded as the historical seat of the municipality.","http://en.wikipedia.org/wiki/Ampelakia,_Larissa"
"Autigny, Seine-Maritime",Autigny is a commune in the Seine-Maritime department in the Haute-Normandie region in northern France.,"http://en.wikipedia.org/wiki/Autigny,_Seine-Maritime"
"Autigny, Switzerland",Autigny is a municipality in the district of Sarine in the canton of Fribourg in Switzerland.,"http://en.wikipedia.org/wiki/Autigny,_Switzerland"
Badu Building,"The Badu Building is located in the city of Llano, county of Llano, in the U.S. state of Texas. It was added to the National Register of Historic Places listings in Llano County, Texas in 1980, and designated a Recorded Texas Historic Landmark in 1981.",http://en.wikipedia.org/wiki/Badu_Building
Badu Island Airport,"Badu Island Airport (IATA: BDD, ICAO: YBAU) is an airport on Badu Island, Queensland, Australia.",http://en.wikipedia.org/wiki/Badu_Island_Airport
Badu River,The Badu River is a tributary of the Prut River in Romania.,http://en.wikipedia.org/wiki/Badu_River
6 Squadron SAAF,"6 Squadron was a South African Air Force unit first formed just before World War II. It was disbanded and re-created a number of times, until finally disbanded in October 1990.The squadron was formed in Cape Town in April 1939 and was equipped with Westland Wapiti IIIs. Initial duties at the outbreak of war was that of anti-submarine coastal patrols from Youngsfield as part of Coastal Command. In February 1940, the unit was moved to Waterkloof and renumbered 1 Squadron.",http://en.wikipedia.org/wiki/6_Squadron_SAAF
Action civique de Québec,"Action civique de Québec (ACQ) was a political party in Quebec City, Quebec, Canada that contested municipal elections. It was created in 2001 after the amalgamation of Quebec City and surrounding suburban municipalities. It was dissolved in 2009. [1] Though it had a minority in the Council, its councillors ended up sharing the power between 2005 and 2007, as they formed an alliance with mayor Andrée P.",http://en.wikipedia.org/wiki/Action_civique_de_Québec
America's Most Wanted (group),"America's Most Wanted, also known as A.M.W., was an American hip hop group from Oakland, California, made up of Tyrell ""The Boss Man"" Brewer, Charles ""Chucksta"" Mack and Chris ""Mellow-D"" Wilson. They were signed to Triad Records and Shot Records.They came together in 1990 to release their first album, Criminals, which peaked at number 66 on the Billboard Top R&B/Hip-Hop Albums chart.",http://en.wikipedia.org/wiki/America's_Most_Wanted_(group)
American River Transportation Company,"The American River Transportation Company, or ARTCO, is a subsidiary of the Archer Daniels Midland company. ARTCO manages the transportation of ADM products along the Mississippi River, Ohio River, and Illinois River in the United States. ARTCO also manages transportation of Cocoa along the Madeira River in Brazil near Bolivia. ARTCO owns 2,000 barges, plus dozens of towboats and harbor tugboats [2].",http://en.wikipedia.org/wiki/American_River_Transportation_Company
Arvand Free Zone,"The Arvand Freezone is a 155 square kilometer industrial and security zone that surrounds Khorramshahr, Abadan, and Minoo Island along the Arvand waterway (known as Shatt al-Arab in Iraq) in Khuzestan Province, Iran.",http://en.wikipedia.org/wiki/Arvand_Free_Zone
Bayero University Kano,"Bayero University Kano (BUK) is a university situated in Kano, Kano State, Nigeria. It was founded in 1977, when it was renamed from Bayero University College and upgraded from university college to university; in 1980 it ceased functioning as a faculty of the Ahmadu Bello University. It has Faculties of Agriculture, Arts and Islamic Studies, Education, Law, Medicine, Science, Social and Management Sciences and Technology.",http://en.wikipedia.org/wiki/Bayero_University_Kano
Bentworth School District,"The Bentworth School District is a small, rural public school district located in southwestern Pennsylvania. Bentworth School District encompasses approximately 54 square miles (140 km2). It covers the boroughs of Bentleyville, Cokeburg and Ellsworth as well as North Bethlehem Township and Somerset Township in Washington County, Pennsylvania. According to 2000 federal census data, it served a resident population of 8,837. By 2010, Bentworth School District's population declined to 8,555 people.",http://en.wikipedia.org/wiki/Bentworth_School_District
"Brigidine College, Indooroopilly","Brigidine College is an Independent Catholic Girls' College, located in the suburb of Indooroopilly less than 8 kilometres (5.0 mi) from the center of Brisbane, Australia.","http://en.wikipedia.org/wiki/Brigidine_College,_Indooroopilly"
"Brigidine College, St Ives","Brigidine College is an Independent Roman Catholic day school for girls in grades 7 to 12. It is located in the suburb of St. Ives, on the North Shore of Sydney, New South Wales, Australia.Established in 1954 by the Brigidine Sisters, Brigidine has a non-selective enrolment policy and it caters for approximately 900 students from years 7 to 12.","http://en.wikipedia.org/wiki/Brigidine_College,_St_Ives"
Brigidine College Randwick,"Brigidine College Randwick is a systemic Roman Catholic, secondary, day school for girls, located in Randwick, a south-eastern suburb of Sydney, New South Wales, Australia.",http://en.wikipedia.org/wiki/Brigidine_College_Randwick
British Universities Snowsports Council,The BUSC or British Universities Snowsports Council promotes participation and competition in skiing and snowboarding at all levels for students in the United Kingdom.,http://en.wikipedia.org/wiki/British_Universities_Snowsports_Council
Chervona Ruta (ensemble),Chervona Ruta was a Ukrainian music group that performed between 1971 and 1990. Chervona Ruta group was created in 1971 by Anatoliy Evdokimenko with the Chernivtsi Philharmonic specially for the accompaniment of Sofia Rotaru.,http://en.wikipedia.org/wiki/Chervona_Ruta_(ensemble)
Constable & Robinson,"Constable & Robinson Ltd. is a leading independent publisher of fiction and non-fiction books and ebooks.Founded in Edinburgh in 1795 by Archibald Constable as Constable & Co., and by Nick Robinson as Robinson Publishing Ltd in 1983, it is probably the oldest independent publisher in the English-speaking world still operating under the name of its founder.",http://en.wikipedia.org/wiki/Constable_&_Robinson
Dhammakaya Open University,"Dhammakaya Open University (DOU) is a Theravada Buddhist school offering instruction by distance-learning. Founded in 2003, it is based in Azusa, California but distributes its courses internationally via liaison centres at branches of the Dhammakaya Foundation. It offers courses in English and Thai.The sole course of studies offered is a B.B. (Bachelor of Buddhism) in Dhamma.",http://en.wikipedia.org/wiki/Dhammakaya_Open_University
Doughboys (Canadian band),Doughboys were a Canadian alternative rock band that were active in the late 1980s and early/mid-1990s. The band was renowned for its musical blend of punk and pop-style melodies.,http://en.wikipedia.org/wiki/Doughboys_(Canadian_band)
007: Licence to Kill,"007: Licence to Kill is a 1989 video game based on the James Bond film of the same name, developed by Quixel and published by Domark in 1989. It was originally released for DOS and then ported to the Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, MSX and ZX Spectrum.The game's storyline closely follows that of the film, and consists of six scenes in which Bond chases Sanchez, who has murdered Felix Leiter's bride.",http://en.wikipedia.org/wiki/007:_Licence_to_Kill
Adieu (Cœur de pirate song),"""Adieu"" is a song by Canadian singer Cœur de pirate, from her second studio album Blonde (2011). It was released as a single in Canada on March 19, 2011.",http://en.wikipedia.org/wiki/Adieu_(Cœur_de_pirate_song)
Adieu (Jahn Teigen and Anita Skorgan song),"""Adieu"" (""Goodbye"") was the Norwegian entry in the Eurovision Song Contest 1982, performed in Norwegian by Jahn Teigen and Anita Skorgan. The song is a ballad, with the duo taking the roles of lovers ending a relationship. They pledge to remain on good terms, even though they are no longer together.",http://en.wikipedia.org/wiki/Adieu_(Jahn_Teigen_and_Anita_Skorgan_song)
Alraune (1918 film),Alraune is a 1918 Hungarian science fiction horror film directed by Michael Curtiz and Edmund Fritz and starring Géza Erdélyi. Little is known about this film which is now believed to be lost. It is a variation on the original legend of Alraune in which a Mad Scientist creates a beautiful but demonic child from the forced union between a woman and a Mandrake root.,http://en.wikipedia.org/wiki/Alraune_(1918_film)
Alraune (1928 film),"Alraune (also called Unholy Love, Mandrake, or A Daughter of Destiny) is a 1928 German silent science fiction horror film directed by Henrik Galeen and starring Brigitte Helm in which a prostitute is artificially inseminated with the semen of a hanged man. The story is based upon the legend of Alraune and the powers of the mandrake root to impregnate women.",http://en.wikipedia.org/wiki/Alraune_(1928_film)
Alraune (1952 film),"Alraune (also known as Unnatural) is a 1952 science fiction horror film directed by Arthur Maria Rabenalt and starring Hildegard Knef in which a scientist creates a woman who is beautiful and yet soulless, lacking any sense of morality. It is based upon the German myth of Alraune in which a woman is impregnated by a mandrake root. It is the fifth and as of 2007 the final movie to be based upon this myth.The film was produced by Carlton Films and Deutsche Styria Film GmbH.",http://en.wikipedia.org/wiki/Alraune_(1952_film)
April Love (film),"April Love is an American musical directed by Henry Levin and produced by David Weisbart, based on the novel Phantom Filly by George Agnew Chamberlain (New York, 1941). Photographed in CinemaScope and DeLuxe Color by Wilfred M.",http://en.wikipedia.org/wiki/April_Love_(film)
April Love (painting),April Love is a painting by the Pre-Raphaelite painter Arthur Hughes which was created between 1855 and 1856.,http://en.wikipedia.org/wiki/April_Love_(painting)
April Love (song),"""April Love"" is a popular song with music by Sammy Fain and lyrics by Paul Francis Webster. It was written as the theme song for a 1957 film of the same name starring Pat Boone and Shirley Jones and directed by Henry Levin. Helped by the release of the film, ""April Love"" became a number-one hit in the United States for Pat Boone in December 1957. In 1958, it was nominated for an Academy Award for Best Music, Original Song.",http://en.wikipedia.org/wiki/April_Love_(song)
Arnel Pineda (album),"Arnel Pineda is the first studio album by vocalist Arnel Pineda, several years before he became the lead singer of Journey (former lead singer of The Zoo). Released in 1999 on the Warner Bros. record label, the album was a success in the Philippines where two singles achieved radio play: ""Iiyak Ka Rin"" and ""Sayang"". The album was re-released on iTunes for download (catalog no. 398429923-4).",http://en.wikipedia.org/wiki/Arnel_Pineda_(album)
Ascendancy (album),"Ascendancy is the second studio album by American heavy metal band Trivium. Released on March 15, 2005 by Roadrunner Records.",http://en.wikipedia.org/wiki/Ascendancy_(album)
Ascendancy (film),"Ascendancy is a 1983 British film. It tells the story of a woman who is a member of the British landowning 'Ascendancy' in Ireland during World War I. Gradually, she learns about the Irish independence movement, and becomes involved with it.",http://en.wikipedia.org/wiki/Ascendancy_(film)
Ascendancy (video game),"Ascendancy is a 4X science fiction turn-based strategy computer game. It was originally released for MS-DOS in 1995 and was updated and re-released for iOS in 2011 by The Logic Factory. Ascendancy is a galactic struggle to become the dominant life force, hence the title. The game's introductory cinematic states ""Wildly different cultures competed for the same worlds.",http://en.wikipedia.org/wiki/Ascendancy_(video_game)
Azada (video game),"Azada is an adventure-puzzle casual game developed by Big Fish Studios Europe, and distributed by Big Fish Games. The studio previously developed Mystic Inn and Atlantis Sky Patrol.",http://en.wikipedia.org/wiki/Azada_(video_game)
Blue Daisy,"Blue Daisy is The Brilliant Green's nineteenth single, released in 2010. It peaked at #20 on the Oricon singles chart.",http://en.wikipedia.org/wiki/Blue_Daisy
Hura (plant),Hura is a plant genus of the family Euphorbiaceae found in tropical America.,http://en.wikipedia.org/wiki/Hura_(plant)
Ikonnikov's bat,"Ikonnikov's bat (Myotis ikonnikovi) is a species of vesper bat. An adult Ikonnikov's bat has a body length of 4.2-5.1 cm, a tail of 3.1-4.0 cm, and a wing length of 3.3-3.6 cm. It is found in eastern Siberia, the Ussuri region, Sakhalin, Hokkaido and Honshu (Japan), and the Korean Peninsula.",http://en.wikipedia.org/wiki/Ikonnikov's_bat
Ixia,"The genus Ixia consists of a number of cormous plants native to South Africa from the Iridaceae family and Ixioideae subfamily. Some of them are known as the corn lily. Some distinctive traits include: sword-like leaves, and long wiry stems with star-shaped flowers. It usually prefers well-drained soil. The popular corn lily has specific, not very intense fragrance as vegetables. That is why it's often visited by many insects such as bees.",http://en.wikipedia.org/wiki/Ixia
Lycaena,"Lycaena is a butterfly genus with a world-wide range. It is commonly divided into several subgenera, such as Antipodolycaena. Many formerly independent genera are now subsumed within Lycaena; the genus Gaiedes may also belong here.[citation needed]",http://en.wikipedia.org/wiki/Lycaena
Lycia (moth),Lycia is a genus of moth in the family Geometridae.,http://en.wikipedia.org/wiki/Lycia_(moth)
Lycia alpina,"Lycia alpina is a moth of the Geometridae family. It is found in the Alps on altitudes between 1,000 and 2,500 meters and in the Jura Mountains.The wingspan is 28–40 mm for males. Females are wingless. Adults are on wing from April to July in one generation per year.The larvae feed on various low-growing plants, Leucanthemum, Rosa, Salix, Scabiosa and Sisymbrium species. It overwinters as a pupa.",http://en.wikipedia.org/wiki/Lycia_alpina
Lycia pomonaria,"Lycia pomonaria is a moth of the Geometridae family. It is found from central and northern Europe through Siberia to the Kamchatka Peninsula.The wingspan is 30–35 mm for males. Females are wingless. Adult males are on wing from April to June. There is one generation per year.The larvae mainly feed on Betula, but also feed on other deciduous trees and Vaccinium species.",http://en.wikipedia.org/wiki/Lycia_pomonaria
Meza (genus),Meza is a genus of skippers in the family Hesperiidae.,http://en.wikipedia.org/wiki/Meza_(genus)
Pineda (plant),"Pineda is a genus of flowering plants in the willow family, Salicaceae. It contains two species of shrubs: Pineda incana, which is native to the Andes of Ecuador and Peru, and Pineda ovata, which is native to the Andes of Bolivia.Pineda is unique among Salicaceae in that the species have 4-5 sepals and petals, hermaphroditic flowers, receptacular disk glands (=nectaries), and outer filamentous staminodes. It is one of few genera of Salicaceae that occur at high elevations.",http://en.wikipedia.org/wiki/Pineda_(plant)
Selenia (moth),"Selenia is a genus of moth in the family Geometridae.As of 1999, there were about 24 species in the genus.Species include: Selenia alciphearia - Brown-tipped Thorn, Northern SeleniaSelenia dentaria - Early ThornSelenia kentaria - Kent's GeometerSelenia lunularia - Lunar ThornSelenia tetralunaria - Purple Thorn↑",http://en.wikipedia.org/wiki/Selenia_(moth)
Voltaire (racehorse),"Voltaire (1826 – 16 April 1848) was a British Thoroughbred racehorse. He won five of his six races, including the Doncaster Gold Cup in 1828. After retiring from racing he became a successful stallion, siring St. Leger winner Charles the Twelfth and Voltigeur, who won both the Epsom Derby and the St. Leger. He was bred and owned by Robert Stephenson, before being sold to William Vane, Marquess of Cleveland, whom he raced for as a three-year-old.",http://en.wikipedia.org/wiki/Voltaire_(racehorse)
Abert's Towhee,"The Abert's Towhee (Melozone aberti) is a bird of the family Emberizidae, native to a small range in southwestern North America, generally the lower Colorado River and Gila River watersheds, nearly endemic to Arizona, but also present in small parts of California, Nevada, Utah, New Mexico, and Sonora in Mexico.This bird is common in brushy riparian habitats in the Lower Sonoran desert zone but may require some effort to see as it prefers to stay well-hidden under bushes.",http://en.wikipedia.org/wiki/Abert's_Towhee
Abert's squirrel,"Abert's squirrel (or tassel-eared squirrel) (Sciurus aberti) is a tree squirrel in the genus Sciurus endemic to the Rocky Mountains from United States to Mexico, with concentrations found in Arizona, The Grand Canyon, New Mexico, and southwestern Colorado.",http://en.wikipedia.org/wiki/Abert's_squirrel
Abies amabilis,"Abies amabilis, commonly known as the Pacific silver fir, is a fir native to the Pacific Northwest of North America, occurring in the Pacific Coast Ranges and the Cascade Range from the extreme southeast of Alaska, through western British Columbia, Washington and Oregon, to the extreme northwest of California. It is also commonly referred to as the white fir, red fir, lovely fir, amabilis fir, Cascades fir, or silver fir.",http://en.wikipedia.org/wiki/Abies_amabilis
Abyssinian White-eye,"The Abyssinian White-eye or White-breasted White-eye (Zosterops abyssinicus) is a small passerine bird belonging to the genus Zosterops in the white-eye family Zosteropidae. It is native to north-east Africa and southern Arabia.It is 10–12 cm long. The upperparts are green, darker and greyer in northern races. There is a narrow white ring around the eye and a thin black line between the bill and eye. The underparts vary from pale yellow to greyish-white depending on the race.",http://en.wikipedia.org/wiki/Abyssinian_White-eye
Cogan syndrome,"Cogan syndrome is a rare disorder characterized by recurrent inflammation of the front of the eye (the cornea) and often fever, fatigue, and weight loss, episodes of dizziness, and hearing loss. It can lead to deafness or blindness if untreated. The classic form of the disease was first described by D.G. Cogan in 1945.",http://en.wikipedia.org/wiki/Cogan_syndrome
Adhesion (medicine),"Adhesions are fibrous bands that form between tissues and organs, often as a result of injury during surgery. They may be thought of as internal scar tissue that connect tissues not normally connected.",http://en.wikipedia.org/wiki/Adhesion_(medicine)
Bronchiolitis obliterans organizing pneumonia,"Bronchiolitis obliterans organizing pneumonia (BOOP) is a non-infectious pneumonia; specifically, an inflammation of the bronchioles (bronchiolitis) and surrounding tissue in the lungs. It is often a complication of an existing chronic inflammatory disease such as rheumatoid arthritis, or it can be a side effect of certain medications such as amiodarone. BOOP was first described by Dr.",http://en.wikipedia.org/wiki/Bronchiolitis_obliterans_organizing_pneumonia
Chignon (medical term),A chignon is a temporary swelling left on an infant's head after a ventouse suction cap has been used to deliver him or her. It is not a sign of serious injury and may take as little as two hours or as long as two weeks to disappear.,http://en.wikipedia.org/wiki/Chignon_(medical_term)
Chronic cerebrospinal venous insufficiency,Chronic cerebrospinal venous insufficiency (CCSVI or CCVI) is a term developed by Italian researcher Paolo Zamboni in 2008 to describe compromised flow of blood in the veins draining the central nervous system. Zamboni hypothesized that it played a role in the cause or development of multiple sclerosis (MS).,http://en.wikipedia.org/wiki/Chronic_cerebrospinal_venous_insufficiency
Congenital pulmonary airway malformation,"Congenital pulmonary airway malformation (CPAM), formerly known as congenital cystic adenomatoid malformation (CCAM), is a congenital disorder of the lung similar to bronchopulmonary sequestration. In CPAM, usually an entire lobe of lung is replaced by a non-working cystic piece of abnormal lung tissue. This abnormal tissue will never function as normal lung tissue. The underlying cause for CPAM is unknown.",http://en.wikipedia.org/wiki/Congenital_pulmonary_airway_malformation
Debility (medical),"In general, debility refers to a loss of strength. In medicine, debility refers to being weak or feeble.",http://en.wikipedia.org/wiki/Debility_(medical)
Eales disease,"Eales disease is a type of obliterative vasculopathy, also known as angiopathia retinae juvenilis, periphlebitis retinae, primary perivasculitis of the retina, is an ocular disease characterized by inflammation and possible blockage of retinal blood vessels, abnormal growth of new blood vessels (neovascularization), and recurrent retinal and vitreal hemorrhages.",http://en.wikipedia.org/wiki/Eales_disease
Epidural hematoma,"Epidural or extradural hematoma (haematoma) is a type of traumatic brain injury (TBI) in which a buildup of blood occurs between the dura mater (the tough outer membrane of the central nervous system) and the skull. The dura mater also covers the spine, so epidural bleeds may also occur in the spinal column. Often due to trauma, the condition is potentially deadly because the buildup of blood may increase pressure in the intracranial space, compress delicate brain tissue, and cause brain shift.",http://en.wikipedia.org/wiki/Epidural_hematoma
Gender identity disorder in children,Gender identity disorder in children (GIDC) is the formal diagnosis used by psychologists and physicians to describe children who experience significant gender dysphoria (discontent with their biological sex and/or assigned gender).The differential diagnosis for children was formalized in the third revision of the Diagnostic and Statistical Manual of Mental Disorders (DSM-III) in 1980. Children assigned as males are diagnosed with GIDC 5 to 30 times more often than children assigned as females.,http://en.wikipedia.org/wiki/Gender_identity_disorder_in_children
Genital ulcer,"A genital ulcer is located on the genital area, usually caused by a sexually transmitted disease such as genital herpes, syphilis, chancroid, or chlamydia trachomatis. Some other signs of having genital ulcers include enlarged lymph nodes in the groin area, or vesicular lesions, which are small, elevated sores or blisters. The syndrome may be further classified into penile ulceration and vulval ulceration for males and females respectively.Genital ulcers are not strictly a sign of an STD.",http://en.wikipedia.org/wiki/Genital_ulcer
Granulomatous amoebic encephalitis,"Granulomatous amoebic encephalitis (""GAE"") is a central nervous system disease caused by certain species, especially species of Acanthamoeba and Balamuthia mandrillaris.The term is most commonly used with Acanthamoeba. In more modern references, the term ""Balamuthia amoebic encephalitis"" (BAE) is commonly used when Balamuthia mandrillaris is the cause.",http://en.wikipedia.org/wiki/Granulomatous_amoebic_encephalitis
Hip dysplasia (human),"Hip dysplasia, developmental dysplasia of the hip (DDH) or congenital dysplasia of the hip (CDH) is a congenital or developmental deformation or misalignment of the hip joint.",http://en.wikipedia.org/wiki/Hip_dysplasia_(human)
Hypersalivation,"Hypersalivation (also called ptyalism and sialorrhea) is excessive production of saliva. It has also been defined as increased amount of saliva in the mouth, which may also be caused by decreased clearance of saliva.Hypersalivation can contribute to drooling if there is an inability to keep the mouth closed or in difficulty in swallowing the excess saliva.Hypersalivation also often precedes emesis (vomiting), where it accompanies nausea (a feeling of needing to vomit).",http://en.wikipedia.org/wiki/Hypersalivation
Infantilism (physiological disorder),"See ""Infantilism"" for other uses of the termIn medicine, Infantilism is an obsolete term for various, often unrelated disorders human development, up to developmental disability, which consist of retention of the physical and/or psychological characteristics of early developmental stages (infant, child) into a relatively advanced age. Various types of infantilism were recognized, lumped together in the above superficial description.",http://en.wikipedia.org/wiki/Infantilism_(physiological_disorder)
1966 Canadian Grand Prix,"The 1966 Canadian Grand Prix was a motor race held at Mosport Park on September 24, 1966 held for Sports cars eligible to Can-Am Series regulations and had 30 starters. It was the sixth Canadian Grand Prix and like all previous races was a sports car race. The race doubled as round three of the 1966 Can-Am Series. The race was won by Penske driver Mark Donohue by two laps over Chaparral driver Phil Hill.",http://en.wikipedia.org/wiki/1966_Canadian_Grand_Prix
1970 Race of Champions,"The 5th Race of Champions was a non-Championship motor race, run to Formula One rules, held on 22 March 1970 at Brands Hatch circuit in Kent, UK. The race was run over 50 laps of the circuit, and was won by Jackie Stewart in a March 701.",http://en.wikipedia.org/wiki/1970_Race_of_Champions
